"222","ALA","Almaty Airport","Almaty (ALA)","Kazakhstan","0",
"223","ALB","Albany International Airport","Albany","USA - New York","0",
"224","ALC","Alicante Airport","Alicante","Spain","0",
"225","ALD","Alerta Airport","Alerta","Peru","0",
"226","ALE","Alpine Airport","Alpine","USA - Texas","0",
"227","ALF","Alta Airport","Alta","Norway","0",
"228","ALG","Houari Boumediene Airport","Algiers","Algeria","0",
"229","ALH","Albany Airport","Albany","Australia","0",
"230","ALI","Alice International Airport","Alice","USA - Texas","0",
"231","ALJ","Kortdoorn Airport","Alexander Bay","South Africa","0",
"232","ALK","Asela Airport","Asela","Ethiopia","0",
"233","ALL","Albenga Airport","Albenga","Italy","0",
"234","ALM","Alamogordo Municipal Airport","Alamogordo","USA - New Mexico","0",
"235","ALN","Alton Airport","Alton","USA - Illinois","0",
"236","ALO","Waterloo Airport","Waterloo","USA - Iowa","0",
"237","ALP","Aleppo International Airport","Aleppo","Syria","0",
"238","ALQ","Federal Airport","Alegrete","Brazil","0",
"239","ALR","Alexandra Airport","Alexandra","New Zealand","0",
"240","ALS","Alamosa Municipal Airport","Alamosa","USA - Colorado","0",
"241","ALT","Alenquer Airport","Alenquer","Brazil","0",
"242","ALU","Alula Airport","Alula","Somalia","0",
"243","ALV","Andorra La Vella Heliport","Andorra La Vella","Andorra","0",
"244","ALW","Walla Walla Airport","Walla Walla","USA - Washington","0",
"245","ALX","Thomas C Russell Field","Alexander City","USA - Alabama","0",
"246","ALY","El Nohza Airport","Alexandria","Egypt","0",
"247","ALZ","Alitak Sea Plane Base","Alitak","USA - Alaska","0",
"248","AMA","Amarillo International Airport","Amarillo","USA - Texas","0",
"249","AMB","Ambilobe Airport","Ambilobe","Madagascar","0",
"250","AMC","Am Timan Airport","Am Timan","Mali","0",
"251","AMD","Ahmedabad Airport","Ahmedabad","India","0",
"252","AME","Alto Molocue Airport","Alto Molocue","Mozambique","0",
"253","AMF","Ama Airport","Ama","Papua New Guinea","0",
"254","AMG","Amboin Airport","Amboin","Papua New Guinea","0",
"255","AMH","Arba Mintch Airport","Arba Mintch","Ethiopia","0",
"256","AMI","Selaparang Airport","Mataram","Indonesia","0",
"257","AMJ","Almenara Airport","Almenara","Brazil","0",
"258","AMK","Animas Airpark","Durango","USA - Colorado","0",
"259","AML","Puerto Armuelles Airport","Puerto Armuelles","Panama","0",
"260","AMM","Queen Alia International Airport","Amman (AMM)","Jordan","0",
"261","AMN","Gratiot Community Airport","Alma","USA - Michigan","0",
"262","AMO","Mao Airport","Mao","Mali","0",
"263","AMP","Ampanihy Airport","Ampanihy","Madagascar","0",
"264","AMQ","Pattimura Airport","Ambon","Indonesia","0",
"265","AMR","Arno Airport","Arno","Marshall Islands","0",
"266","AMS","Amsterdam-Schiphol Airport","Amsterdam","Netherlands","0",
"267","AMT","Amata Airport","Amata","Australia","0",
"268","AMU","Amanab Airport","Amanab","Papua New Guinea","0",
"269","AMV","Amderma Airport","Amderma","Russia","0",
"270","AMW","Ames Airport","Ames","USA - Iowa","0",
"271","AMX","Ammaroo Airport","Ammaroo","Australia","0",
"272","AMY","Ambatomainty Airport","Ambatomainty","Madagascar","0",
"273","AMZ","Ardmore Airport","Ardmore","New Zealand","0",
"274","ANA","Anaheim Airport","Anaheim","USA - California","0",
"275","ANB","County Airport","Anniston","USA - Alabama","0",
"276","ANC","Anchorage International Airport","Anchorage","USA - Alaska","0",
"277","AND","Anderson Airport","Anderson","USA - South Carolina","0",
"278","ANE","Arville Airport","Angers","France","0",
"279","ANF","Cerro Moreno Airport","Antofagasta","Chile","0",
"280","ANG","Brie-Champniers Airport","Angouleme","France","0",
"281","ANH","Anuha Island Resort Airport","Anuha Island Resort","Solomon Islands","0",
"282","ANI","Aniak Airport","Aniak","USA - Alaska","0",
"283","ANJ","Zanaga Airport","Zanaga","Congo","0",
"284","ANK","Etimesgut Airport","Ankara","Turkey","0",
"285","ANM","Antsirabato","Antalaha","Madagascar","0",
"286","ANO","Angoche Airport","Angoche","Mozambique","0",
"287","ANP","Lee Airport","Annapolis","USA - Maryland","0",
"288","ANQ","Tri-State Steuben County Airport","Angola","USA - Indiana","0",
"289","ANR","Deurne Airport","Antwerp","Belgium","0",
"290","ANS","Andahuaylas Airport","Andahuaylas","Peru","0",
"291","ANT","St. Anton Airport","Saint Anton","Austria","0",
"292","ANU","V.C. Bird International Airport","Antigua","Antigua & Barbuda","0",
"293","ANV","Anvik Airport","Anvik","USA - Alaska","0",
"294","ANW","Ainsworth Airport","Ainsworth","USA - Nebraska","0",
"295","ANX","Andenes Airport","Andenes","Norway","0",
"296","ANY","Anthony Airport","Anthony","USA - Kansas","0",
"297","ANZ","Angus Downs Airport","Angus Downs","Australia","0",
"298","AOA","Aroa Airport","Aroa","Papua New Guinea","0",
"299","AOB","Annanberg Airport","Annanberg","Papua New Guinea","0",
"300","AOC","Altenburg Nobitz Airport","Altenburg","Germany","0",
"301","AOD","Abou Deia Airport","Abou Deia","Mali","0",
"302","AOE","Anadolu University Airport","Eskisehir","Turkey","0",
"303","AOG","Anshan Airport","Anshan","China","0",
"304","AOH","Allen County Airport","Lima (LIM)","USA - Ohio","0",
"305","AOI","Falconara Airport","Ancona","Italy","0",
"306","AOJ","Aomori Airport","Aomori","Japan","0",
"307","AOK","Karpathos Airport","Karpathos","Greece","0",
"308","AOL","Paso de los Libres Airport","Paso de los Libres","Argentina","0",
"309","AON","Arona Airport","Arona","Papua New Guinea","0",
"310","AOO","Altoona Airport","Altoona","USA - Philadelphia","0",
"311","AOR","Alor Setar Airport","Alor Setar","Malaysia","0",
"312","AOS","Amook Airport","Amook","USA - Alaska","0",
"313","AOT","Corrado Gex Airport","Aosta","Italy","0",
"314","AOU","Attopeu Airport","Attopeu","Laos","0",
"315","AOY","Asaloyeh Airport","Asaloyeh","Iran","0",
"316","APA","Arapahoe County Airport","Denver","USA - Colorado","0",
"317","APB","Apolo Airport","Apolo","Bolivia","0",
"318","APC","Napa County Airport","Napa","USA - California","0",
"319","APE","San Juan Aposento Airport","San Juan Aposento","Peru","0",
"320","APF","Naples Airport","Naples","USA - Florida","0",
"321","APG","Phillips Army Air Field","Aberdeen","USA - Maryland","0",
"322","APH","Camp A P Hill Airport","Bowling Green","USA - Virginia","0",
"323","API","Apiay Airport","Apiay","Colombia","0",
"324","APK","Apataki Airport","Apataki","French Polynesia","0",
"325","APL","Nampula Airport","Nampula","Mozambique","0",
"326","APN","Alpena County Regional Airport","Alpena","USA - Michigan","0",
"327","APO","Apartado Airport","Apartado","Colombia","0",
"328","APP","Asapa Airport","Asapa","Papua New Guinea","0",
"329","APQ","Arapiraca Airport","Arapiraca","Brazil","0",
"330","APR","April River Airport","April River","Papua New Guinea","0",
"331","APS","Anapolis Airport","Anapolis","Brazil","0",
"332","APT","Marion County Airport","Jasper","USA - Tennessee","0",
"333","APU","Apucarana Airport","Apucarana","Brazil","0",
"334","APV","Apple Valley Airport","Apple Valley","USA - California","0",
"335","APW","Faleolo Airport","Apia","Samoa","0",
"336","APX","Arapongas Airport","Arapongas","Brazil","0",
"337","APY","Alto Parnaiba Airport","Alto Parnaiba","Brazil","0",
"338","APZ","Zapala Airport","Zapala","Argentina","0",
"339","AQA","Araraquara Airport","Araraquara","Brazil","0",
"340","AQG","Anqing Airport","Anqing","China","0",
"341","AQI","Qaisumah Airport","Qaisumah","Saudi Arabia","0",
"342","AQJ","King Hussein International Airport","Aqaba","Jordan","0",
"343","AQM","Ariquemes Airport","Ariquemes","Brazil","0",
"344","AQP","Rodriguez Ballon Airport","Arequipa","Peru","0",
"345","AQS","Saqani Airport","Saqani","Fiji","0",
"346","ARA","Acadiana Regional Airport","New Iberia","USA - Louisiana","0",
"347","ARB","Ann Arbor Municipal Airport","Ann Arbor","USA - Michigan","0",
